Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
499;21100853526;"ACM Transactions on Economics and Computation";journal;"21678375, 21678383";0,888;Q1;19;5;68;181;170;64;1,47;36,20;United States;Northern America;"Association for Computing Machinery (ACM)";"2013-2022";"Computer Science (miscellaneous) (Q1); Statistics and Probability (Q1); Computational Mathematics (Q2); Economics and Econometrics (Q2); Marketing (Q2)";"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance; Mathematics"
500;21101092530;"IET Quantum Communication";journal;"26328925";0,883;Q1;6;21;37;796;112;32;3,03;37,90;United States;Northern America;"John Wiley and Sons Inc.";"2020-2022";"Computational Theory and Mathematics (Q1); Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1); Computer Science Applications (Q2); Theoretical Computer Science (Q2)";"Computer Science; Engineering; Mathematics"
501;19420;"International Journal of Human-Computer Interaction";journal;"15327590, 10447318";0,879;Q2;83;408;440;31178;2638;435;5,78;76,42;United States;Northern America;"Taylor and Francis Ltd.";"1989-1996, 1998-2022";"Human Factors and Ergonomics (Q1); Computer Science Applications (Q2); Human-Computer Interaction (Q2)";"Computer Science; Social Sciences"
502;28461;"Computational Statistics and Data Analysis";journal;"01679473";0,877;Q1;126;176;487;7241;1024;483;2,18;41,14;Netherlands;Western Europe;"Elsevier";"1983-2023";"Applied Mathematics (Q1); Computational Theory and Mathematics (Q1); Computational Mathematics (Q2); Statistics and Probability (Q2)";"Computer Science; Mathematics"
503;2600147402;"Ethics and Information Technology";journal;"13881957";0,876;Q2;65;50;154;3065;647;152;4,16;61,30;Netherlands;Western Europe;"Springer Netherlands";"1999-2022";"Library and Information Sciences (Q1); Computer Science Applications (Q2)";"Computer Science; Social Sciences"
504;23629;"AI Magazine";journal;"07384602";0,875;Q2;83;24;78;1108;370;73;1,51;46,17;United States;Northern America;"John Wiley and Sons Inc.";"1984-1986, 1989-2020, 2022";"Artificial Intelligence (Q2)";"Computer Science"
505;13683;"Computer Communication Review";journal;"19435819, 01464833";0,875;Q1;181;24;114;788;241;104;2,51;32,83;United States;Northern America;"Association for Computing Machinery (ACM)";"1995-2022";"Computer Networks and Communications (Q1); Software (Q2)";"Computer Science"
506;6200180164;"Profesional de la Informacion";journal;"16992407, 13866710";0,872;Q1;40;124;446;7306;1656;441;4,23;58,92;Spain;Western Europe;"El Profesional de la Informacion";"2006-2022";"Communication (Q1); Cultural Studies (Q1); Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
507;21100909462;"BMJ Health and Care Informatics";journal;"26321009";0,871;Q2;41;48;178;1266;561;157;3,33;26,38;United Kingdom;Western Europe;"BMJ Publishing Group";"2019-2022";"Computer Science Applications (Q2); Health Informatics (Q2); Health Information Management (Q2)";"Computer Science; Health Professions; Medicine"
508;21100894112;"Journal of Digital Learning in Teacher Education";journal;"21532974, 23327383";0,871;Q2;27;13;74;511;235;51;2,00;39,31;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2022";"Education (Q1); Computer Science Applications (Q2)";"Computer Science; Social Sciences"
509;12342;"International Journal of Control";journal;"00207179, 13665820";0,870;Q2;123;472;841;16644;2105;836;2,37;35,26;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1965-2022";"Computer Science Applications (Q2); Control and Systems Engineering (Q2)";"Computer Science; Engineering"
510;33201;"Conference Record - International Conference on Communications";conference and proceedings;"05361486";0,869;-;127;970;2617;17898;5771;2609;2,21;18,45;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1969, 1979-1987, 1989-2022";"Computer Networks and Communications; Electrical and Electronic Engineering; Media Technology";"Computer Science; Engineering"
511;21100830709;"Journal of Sensor and Actuator Networks";journal;"22242708";0,869;Q2;35;86;184;4497;896;178;4,41;52,29;Switzerland;Western Europe;"MDPI AG";"2012-2022";"Control and Optimization (Q1); Instrumentation (Q1); Computer Networks and Communications (Q2)";"Computer Science; Mathematics; Physics and Astronomy"
512;19700201455;"Sustainable Computing: Informatics and Systems";journal;"22105379";0,869;Q1;39;149;264;6282;1597;259;5,76;42,16;United States;Northern America;"Elsevier USA";"2011-2022";"Computer Science (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
513;19700174753;"Nano Communication Networks";journal;"18787789";0,867;Q2;40;12;68;566;237;68;3,38;47,17;Netherlands;Western Europe;"Elsevier";"2010-2022";"Applied Mathematics (Q1); Electrical and Electronic Engineering (Q1); Computer Networks and Communications (Q2)";"Computer Science; Engineering; Mathematics"
514;20007;"Software - Practice and Experience";journal;"1097024X, 00380644";0,867;Q2;74;137;311;6895;1230;297;4,19;50,33;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1971-2022";"Software (Q2)";"Computer Science"
515;19700201402;"Annals of GIS";journal;"19475691, 19475683";0,866;Q2;36;37;84;1924;411;81;4,83;52,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2009-2022";"Earth and Planetary Sciences (miscellaneous) (Q1); Computer Science Applications (Q2)";"Computer Science; Earth and Planetary Sciences"
516;14300154706;"Peer-to-Peer Networking and Applications";journal;"19366450, 19366442";0,865;Q2;42;178;577;7393;2551;561;4,62;41,53;United States;Northern America;"Springer New York";"2009-2022";"Computer Networks and Communications (Q2); Software (Q2)";"Computer Science"
517;21100791825;"Bioprinting";journal;"24058866";0,864;Q2;29;73;133;6615;917;133;6,81;90,62;Netherlands;Western Europe;"Elsevier BV";"2016-2022";"Biomedical Engineering (Q1); Biotechnology (Q2); Computer Science Applications (Q2)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Engineering"
518;21101060161;"IEEE Transactions on Medical Robotics and Bionics";journal;"25763202";0,864;Q2;16;102;174;3975;690;168;3,98;38,97;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2019-2022";"Biomedical Engineering (Q1); Control and Optimization (Q1); Artificial Intelligence (Q2); Computer Science Applications (Q2); Human-Computer Interaction (Q2)";"Computer Science; Engineering; Mathematics"
519;24360;"Journal of Intelligent and Robotic Systems: Theory and Applications";journal;"15730409, 09210296";0,861;Q2;89;251;714;11749;2772;673;3,65;46,81;Netherlands;Western Europe;"Springer Netherlands";"1988-2022";"Electrical and Electronic Engineering (Q1); Industrial and Manufacturing Engineering (Q1); Mechanical Engineering (Q1); Artificial Intelligence (Q2); Control and Systems Engineering (Q2); Software (Q2)";"Computer Science; Engineering"
520;21100781972;"Progress in Artificial Intelligence";journal;"21926360, 21926352";0,860;Q2;25;32;96;1549;506;96;5,92;48,41;Germany;Western Europe;"Springer Nature";"2012-2022";"Artificial Intelligence (Q2)";"Computer Science"
521;23987;"Neuroinformatics";journal;"15392791, 15590089";0,858;Q1;64;78;129;4634;424;119;2,99;59,41;United States;Northern America;"Humana Press";"2003-2022";"Information Systems (Q1); Neuroscience (miscellaneous) (Q2); Software (Q2)";"Computer Science; Neuroscience"
522;28468;"Computers and Mathematics with Applications";journal;"08981221";0,857;Q1;143;369;1221;15796;3779;1204;2,99;42,81;United Kingdom;Western Europe;"Elsevier Ltd.";"1975-2022";"Computational Theory and Mathematics (Q1); Modeling and Simulation (Q1); Computational Mathematics (Q2)";"Computer Science; Mathematics"
523;17960;"International Journal of Adaptive Control and Signal Processing";journal;"08906327, 10991115";0,856;Q2;72;173;349;7233;1415;344;3,82;41,81;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1987-2022";"Electrical and Electronic Engineering (Q1); Control and Systems Engineering (Q2); Signal Processing (Q2)";"Computer Science; Engineering"
524;145326;"International Journal of Information Security";journal;"16155270, 16155262";0,855;Q2;48;82;135;4588;538;133;4,29;55,95;Germany;Western Europe;"Springer Verlag";"2005-2022";"Safety, Risk, Reliability and Quality (Q1); Computer Networks and Communications (Q2); Information Systems (Q2); Software (Q2)";"Computer Science; Engineering"
525;144980;"Multiscale Modeling and Simulation";journal;"15403459, 15403467";0,855;Q2;72;53;171;2241;301;171;1,48;42,28;United States;Northern America;"Society for Industrial and Applied Mathematics Publications";"2003-2022";"Chemistry (miscellaneous) (Q1); Modeling and Simulation (Q1); Physics and Astronomy (miscellaneous) (Q1); Computer Science Applications (Q2); Ecological Modeling (Q2)";"Chemistry; Computer Science; Environmental Science; Mathematics; Physics and Astronomy"
526;5200152822;"Advances in Data Analysis and Classification";journal;"18625347, 18625355";0,853;Q2;36;68;130;2803;286;121;2,10;41,22;Germany;Western Europe;"Springer Verlag";"2007-2022";"Applied Mathematics (Q1); Computer Science Applications (Q2); Statistics and Probability (Q2)";"Computer Science; Mathematics"
527;24173;"Connection Science";journal;"13600494, 09540091";0,853;Q2;45;141;96;5967;596;94;6,62;42,32;United Kingdom;Western Europe;"Taylor and Francis AS";"1989-2022";"Artificial Intelligence (Q2); Human-Computer Interaction (Q2); Software (Q2)";"Computer Science"
528;66854;"IEEE International Conference on Intelligent Robots and Systems";conference and proceedings;"21530858";0,853;-;139;1115;3100;33340;8607;3097;2,45;29,90;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1988-1990, 1992-2003, 2006-2007, 2011-2021";"Computer Science Applications; Computer Vision and Pattern Recognition; Control and Systems Engineering; Software";"Computer Science; Engineering"
529;21101041933;"IET Collaborative Intelligent Manufacturing";journal;"25168398";0,851;Q2;12;26;72;1243;557;68;8,36;47,81;United States;Northern America;"John Wiley &amp; Sons Inc.";"2019-2022";"Industrial and Manufacturing Engineering (Q1); Artificial Intelligence (Q2); Computer Science Applications (Q2); Hardware and Architecture (Q2)";"Computer Science; Engineering"
530;21100820602;"Journal of Computational Design and Engineering";journal;"22885048, 22884300";0,850;Q1;38;115;220;7231;1415;219;5,34;62,88;United Kingdom;Western Europe;"Oxford University Press";"2014-2022";"Computational Mechanics (Q1); Computer Graphics and Computer-Aided Design (Q1); Engineering (miscellaneous) (Q1); Modeling and Simulation (Q1); Computational Mathematics (Q2); Human-Computer Interaction (Q2)";"Computer Science; Engineering; Mathematics"
531;25531;"IEEE Multimedia";journal;"1070986X";0,849;Q2;72;65;125;954;453;120;4,08;14,68;United States;Northern America;"IEEE Computer Society";"1994-2022";"Media Technology (Q1); Computer Science Applications (Q2); Hardware and Architecture (Q2); Signal Processing (Q2); Software (Q2)";"Computer Science; Engineering"
532;88345;"Journal of Global Optimization";journal;"09255001, 15732916";0,847;Q2;93;180;365;6855;835;358;2,09;38,08;Netherlands;Western Europe;"Springer Netherlands";"1991-2022";"Applied Mathematics (Q1); Business, Management and Accounting (miscellaneous) (Q1); Control and Optimization (Q1); Computer Science Applications (Q2); Management Science and Operations Research (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences; Mathematics"
533;26199;"ACM Transactions on Computer-Human Interaction";journal;"10730516, 15577325";0,845;Q2;100;38;134;4511;962;134;5,74;118,71;United States;Northern America;"Association for Computing Machinery (ACM)";"1994-1995, 1997-2022";"Human-Computer Interaction (Q2)";"Computer Science"
534;21101017244;"Drones";journal;"2504446X";0,845;Q2;33;428;310;20429;2034;300;6,10;47,73;Switzerland;Western Europe;"MDPI AG";"2017-2022";"Aerospace Engineering (Q1); Artificial Intelligence (Q2); Computer Science Applications (Q2); Control and Systems Engineering (Q2); Information Systems (Q2)";"Computer Science; Engineering"
535;19700166602;"ACM Transactions on Computation Theory";journal;"19423454, 19423462";0,842;Q1;18;5;77;196;82;76;1,00;39,20;United States;Northern America;"Association for Computing Machinery (ACM)";"2009-2022";"Computational Theory and Mathematics (Q1); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
536;27287;"Journal of Network and Systems Management";journal;"15737705, 10647570";0,841;Q2;37;75;151;3739;587;148;4,33;49,85;United States;Northern America;"Springer New York";"1993-2023";"Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Information Systems (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Computer Science"
537;21100262490;"Journal of Wireless Mobile Networks, Ubiquitous Computing, and Dependable Applications";journal;"20935382, 20935374";0,841;Q1;26;25;71;1141;322;65;5,31;45,64;South Korea;Asiatic Region;"Innovative Information Science &amp; Technology Research Group (ISYOU)";"2010-2022";"Computer Science (miscellaneous) (Q1); Computer Networks and Communications (Q2); Computer Science Applications (Q2)";"Computer Science"
538;14523;"Multibody System Dynamics";journal;"13845640, 1573272X";0,841;Q2;70;62;162;3063;606;157;3,81;49,40;Netherlands;Western Europe;"Springer Netherlands";"1997-2022";"Aerospace Engineering (Q1); Control and Optimization (Q1); Mechanical Engineering (Q1); Modeling and Simulation (Q1); Computer Science Applications (Q2)";"Computer Science; Engineering; Mathematics"
539;21100780696;"Big Data";journal;"21676461, 2167647X";0,839;Q2;36;48;124;1701;613;116;4,50;35,44;United States;Northern America;"Mary Ann Liebert Inc.";"2013-2022";"Computer Science Applications (Q2); Information Systems (Q2); Information Systems and Management (Q2)";"Computer Science; Decision Sciences"
540;19700201403;"Global Journal of Engineering Education";journal;"13283154";0,839;Q1;16;20;104;410;145;100;1,25;20,50;Australia;Pacific Region;"World Institute for Engineering and Technology Education (WIETE)";"2010-2022";"Computer Science (miscellaneous) (Q1); Education (Q1)";"Computer Science; Social Sciences"
541;12358;"International Journal of Fuzzy Systems";journal;"15622479, 21993211";0,839;Q2;54;246;549;10984;2557;540;4,55;44,65;Switzerland;Western Europe;"Springer International Publishing AG";"2004-2022";"Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Software (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
542;27306;"Mobile Networks and Applications";journal;"1383469X, 15728153";0,838;Q2;92;300;678;8567;2791;604;4,16;28,56;Netherlands;Western Europe;"Springer Netherlands";"1996-2022";"Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Information Systems (Q2); Software (Q2)";"Computer Science"
543;12794;"Journal of Documentation";journal;"00220418";0,836;Q2;69;134;227;8189;735;226;2,97;61,11;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1945-2022";"Library and Information Sciences (Q1); Information Systems (Q2)";"Computer Science; Social Sciences"
544;21100244929;"Leibniz International Proceedings in Informatics, LIPIcs";conference and proceedings;"18688969";0,832;-;44;1482;4000;44312;4046;3798;0,96;29,90;Germany;Western Europe;"Schloss Dagstuhl- Leibniz-Zentrum fur Informatik GmbH, Dagstuhl Publishing";"2008-2022";"Logic; Software";"Computer Science; Mathematics"
545;4700152490;"International journal of computer assisted radiology and surgery";journal;"18616410, 18616429";0,831;Q1;61;255;632;7017;2438;617;3,37;27,52;Germany;Western Europe;"Springer Verlag";"2006-2022";"Computer Graphics and Computer-Aided Design (Q1); Computer Vision and Pattern Recognition (Q1); Radiology, Nuclear Medicine and Imaging (Q1); Surgery (Q1); Biomedical Engineering (Q2); Computer Science Applications (Q2); Health Informatics (Q2); Medicine (miscellaneous) (Q2)";"Computer Science; Engineering; Medicine"
546;21101041515;"Journal of Engineering";journal;"20513305";0,831;Q2;1;0;1;0;6;1;6,00;0,00;United Kingdom;Western Europe;"Institution of Engineering and Technology";"2019-2022";"Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q2); Software (Q2)";"Computer Science; Energy; Engineering"
547;21100269620;"Semantic Web";journal;"15700844, 22104968";0,828;Q2;51;54;132;3435;491;127;3,52;63,61;Netherlands;Western Europe;"IOS Press BV";"2010-2022";"Computer Networks and Communications (Q2); Computer Science Applications (Q2); Information Systems (Q2)";"Computer Science"
548;24407;"Computing (Vienna/New York)";journal;"14365057, 0010485X";0,824;Q2;64;135;338;5649;1394;319;4,33;41,84;Austria;Western Europe;"Springer-Verlag Wien";"1966-2022";"Computational Mathematics (Q2); Computational Theory and Mathematics (Q2); Computer Science Applications (Q2); Numerical Analysis (Q2); Software (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
549;19713;"Journal of High Technology Management Research";journal;"10478310";0,823;Q2;53;8;44;592;251;44;4,75;74,00;United Kingdom;Western Europe;"Elsevier BV";"1990-2022";"Computer Science Applications (Q2); Information Systems and Management (Q2); Management of Technology and Innovation (Q2); Marketing (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences"
550;21100211117;"Communications in Applied Mathematics and Computational Science";journal;"15593940, 21575452";0,822;Q2;24;4;24;133;48;24;2,33;33,25;United States;Northern America;"Mathematical Sciences Publishers";"2006-2021";"Applied Mathematics (Q2); Computational Theory and Mathematics (Q2); Computer Science Applications (Q2)";"Computer Science; Mathematics"
551;18003;"Advanced Robotics";journal;"01691864, 15685535";0,820;Q2;72;104;346;3523;931;319;2,33;33,88;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1986-2022";"Computer Science Applications (Q2); Control and Systems Engineering (Q2); Hardware and Architecture (Q2); Human-Computer Interaction (Q2); Software (Q2)";"Computer Science; Engineering"
552;21100332423;"APSIPA Transactions on Signal and Information Processing";journal;"20487703";0,820;Q2;23;17;71;1210;304;69;4,00;71,18;United States;Northern America;"Oxford University Press";"2012-2022";"Information Systems (Q2); Signal Processing (Q2)";"Computer Science"
553;110567;"IEEE International Symposium on Information Theory - Proceedings";conference and proceedings;"21578095";0,820;-;96;567;1726;13817;2020;1722;1,15;24,37;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1972, 1991, 1994-1995, 1997-2022";"Applied Mathematics; Information Systems; Modeling and Simulation; Theoretical Computer Science";"Computer Science; Mathematics"
554;28554;"Soft Computing";journal;"14327643, 14337479";0,819;Q2;102;999;3031;43029;13852;3009;4,65;43,07;Germany;Western Europe;"Springer Verlag";"2000, 2003-2022";"Geometry and Topology (Q2); Software (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
555;12100154405;"IEEE Transactions on Haptics";journal;"23294051, 19391412";0,818;Q2;60;84;239;3124;758;233;3,17;37,19;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2008-2022";"Computer Science Applications (Q2); Human-Computer Interaction (Q2)";"Computer Science"
556;18197;"Integrated Computer-Aided Engineering";journal;"10692509, 18758835";0,817;Q2;47;32;72;1922;336;63;5,34;60,06;Netherlands;Western Europe;"IOS Press BV";"1993-2022";"Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Computer Science Applications (Q2); Software (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
557;24145;"Automated Software Engineering";journal;"09288910, 15737535";0,816;Q2;50;62;53;3449;185;51;3,90;55,63;Netherlands;Western Europe;"Springer Netherlands";"1994-2022";"Software (Q2)";"Computer Science"
558;26389;"Electronic Journal of Combinatorics";journal;"10778926, 10971440";0,816;Q2;53;234;683;5290;485;683;0,66;22,61;United States;Northern America;"Electronic Journal of Combinatorics";"1993-2022";"Discrete Mathematics and Combinatorics (Q1); Applied Mathematics (Q2); Computational Theory and Mathematics (Q2); Geometry and Topology (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
559;21101057896;"Sensors and Actuators Reports";journal;"26660539";0,816;Q1;14;66;64;5077;399;64;6,37;76,92;Netherlands;Western Europe;"Elsevier BV";"2019-2022";"Atomic and Molecular Physics, and Optics (Q1); Computer Science (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Instrumentation (Q1)";"Computer Science; Engineering; Materials Science; Physics and Astronomy"
560;28345;"Journal of Functional Programming";journal;"14697653, 09567968";0,815;Q2;53;13;60;500;84;60;1,40;38,46;United Kingdom;Western Europe;"Cambridge University Press";"1991-2022";"Software (Q2)";"Computer Science"
561;18145;"CAD Computer Aided Design";journal;"00104485";0,814;Q1;124;115;260;5141;1033;256;3,39;44,70;United Kingdom;Western Europe;"Elsevier Ltd.";"1968-2023";"Computer Graphics and Computer-Aided Design (Q1); Industrial and Manufacturing Engineering (Q1); Computer Science Applications (Q2)";"Computer Science; Engineering"
562;21100810702;"Animal Biotelemetry";journal;"20503385";0,813;Q2;29;39;106;2319;303;104;2,70;59,46;United Kingdom;Western Europe;"BioMed Central Ltd.";"2013-2022";"Animal Science and Zoology (Q1); Instrumentation (Q1); Computer Networks and Communications (Q2); Signal Processing (Q2)";"Agricultural and Biological Sciences; Computer Science; Physics and Astronomy"
